id,wrong,correct
1,nevade,nevada
2,presbyterian,presbyterian
3,rsx,rsx
4,steffen,stephen
5,susan,susan
6,abilitey,ability
7,abouy,about
8,absorbtion,absorption
9,accidently,accidentally
10,accomodate,accommodate
11,acommadate,accommodate
12,acord,accord
13,aquantance,acquaintance
14,equire,acquire
15,adultry,adultery
16,aggresive,aggressive
17,alchohol,alcohol
18,alchoholic,alcoholic
19,allieve,alive
20,alright,all_right
21,amature,amateur
22,ambivilant,ambivalent
23,amourfous,amorphous
24,amification,amplification
25,anonomy,anatomy
26,anotomy,anatomy
27,annuncio,announce
28,annonsment,announcement
29,annoint,anoint
30,anynomous,anonymous
31,appresteate,appreciate
32,appreceiated,appreciated
33,archeype,archetype
34,aratictature,architecture
35,aricticure,architecture
36,artic,arctic
37,asterick,asterisk
38,asymetric,asymmetric
39,asentote,asymptote
40,ast,at
41,atentively,attentively
42,autoamlly,automatically
43,bankrot,bankrupt
44,basicly,basically
45,batallion,battalion
46,beggining,beginning
47,beging,beginning
48,bigginging,beginning
49,behaviour,behavior
50,behavior,behaviour
51,beleive,believe
52,belive,believe
53,benidifs,benefits
54,metter,better
55,blait,bleat
56,boygot,boycott
57,brocolli,broccoli
58,bbrose,browse
59,bouyant,buoyant
60,beauro,bureau
61,beaurocracy,bureaucracy
62,buracracy,bureaucracy
63,burracracy,bureaucracy
64,buch,bush
65,buder,butter
66,budr,butter
67,budter,butter
68,buton,button
69,byby,by_by
70,cauler,caller
71,gamne,came
72,cravets,caveats
73,cemetary,cemetery
74,changeing,changing
75,cheet,cheat
76,cicle,circle
77,circue,circle
78,circumstaces,circumstances
79,clob,club
80,cocamena,cockamamie
81,colleaque,colleague
82,colloquilism,colloquialism
83,coaln,colon
84,columne,column
85,cumba,combo
86,commerciasl,commercials
87,comitmment,commitment
88,comittmen,commitment
89,comittmend,commitment
90,commited,committed
91,comitte,committee
92,commitee,committee
93,companys,companies
94,comiler,compiler
95,compicated,complicated
96,comupter,computer
97,congradulations,congratulations
98,concensus,consensus
99,consident,consistent
100,consident,consonant
101,contast,constant
102,contastant,constant
103,contunie,continue
104,conibation,contribution
105,cooly,coolly
106,copping,coping
107,cosmoplyton,cosmopolitan
108,courst,court
109,crasy,crazy
110,credetability,credibility
111,criqitue,critique
112,ctitique,critique
113,croke,croak
114,crusifed,crucified
