id,wrong,correct
1,Ab,Albert
2,Ameraca,America
3,Amercia,America
4,Ameracan,American
5,Apirl,April
6,Austrain,Austrian
7,badcock,Badcock's
8,bechuarnia_land,Bechuanaland
9,botuania,Botswana
10,Cambrige,Cambridge
11,Canda,Canada
12,Chactuquoe,Chautauqua
13,Chalktwa,Chautauqua
14,Chaqua,Chautauqua
15,Chata,Chautauqua
16,Chatacqua,Chautauqua
17,Chatacque,Chautauqua
18,Chatalkwa,Chautauqua
19,Chataqua,Chautauqua
20,Chataque,Chautauqua
21,Chataukowa,Chautauqua
22,Chataukwa,Chautauqua
23,Chatauwkwa,Chautauqua
24,Chateau,Chautauqua
25,Chatocqua,Chautauqua
26,Chatogua,Chautauqua
27,Chatoukouv,Chautauqua
28,Chattakqua,Chautauqua
29,Chatuaca,Chautauqua
30,Chatwakwa,Chautauqua
31,Chauetouequa,Chautauqua
32,Chauta,Chautauqua
33,Chautakye,Chautauqua
34,Chautaqua,Chautauqua
35,Chautauchua,Chautauqua
36,Chautiqua,Chautauqua
37,Chautogqwa,Chautauqua
38,Chautqua,Chautauqua
39,Chawtakque,Chautauqua
40,Chawtawque,Chautauqua
41,Cheautauqua,Chautauqua
42,Chetdacowa,Chautauqua
43,Chetoquoi,Chautauqua
44,Chicahwa,Chautauqua
45,Chictocua,Chautauqua
46,Chicugta,Chautauqua
47,Chistupa,Chautauqua
48,Chitacque,Chautauqua
49,Chitalka,Chautauqua
50,Chitalkwa,Chautauqua
51,Chitaqua,Chautauqua
52,Chitauqua,Chautauqua
53,Chitoqua,Chautauqua
54,Chittiqua,Chautauqua
55,Chochatta,Chautauqua
56,Chottago,Chautauqua
57,Chouativa,Chautauqua
58,Chtacu,Chautauqua
59,Chuatackqua,Chautauqua
60,Chuatuaque,Chautauqua
61,Chuatuaton,Chautauqua
62,Chutaciqwa,Chautauqua
63,Chutouko,Chautauqua
64,Cuhtawa,Chautauqua
65,Quatauqua,Chautauqua
66,Schtaka,Chautauqua
67,Shatacua,Chautauqua
68,Shatakiwa,Chautauqua
69,Shataqua,Chautauqua
70,Shautalkwa,Chautauqua
71,Shawtachwa,Chautauqua
72,Shawtapwa,Chautauqua
73,Shawtowa,Chautauqua
74,Sheto,Chautauqua
75,Shitaka,Chautauqua
76,Showtalkaw,Chautauqua
77,Showtalkwa,Chautauqua
78,Showtucwa,Chautauqua
79,catauqua,Chautauqua
80,chacactur,Chautauqua
81,chatacuia,Chautauqua
82,chataqua,Chautauqua
83,chataque,Chautauqua
84,chatauchuia,Chautauqua
85,chatauqua,Chautauqua
86,chautaucua,Chautauqua
87,chautauqua,Chautauqua
88,chetickway,Chautauqua
89,chictique,Chautauqua
90,chitacwa,Chautauqua
91,chitiquea,Chautauqua
92,chituaquea,Chautauqua
93,chtoawa,Chautauqua
94,sechectaquka,Chautauqua
95,shatakwa,Chautauqua
96,shtalkwa,Chautauqua
97,sutalkway,Chautauqua
98,Crist,Christ
99,Christain,Christian
100,Chrismas,Christmas
101,Christ_mas,Christmas
102,Christmis,Christmas
103,Cristmus,Christmas
104,cristmas,Christmas
105,Cinderrella,Cinderella
106,des.,Dec
107,Decmber,December
108,Desember,December
109,Doc,Dr
110,draculla's,Dracula's
111,Dunstan,Dunstan's
112,Ester,Easter
113,ester,Easter
114,Estwood,Eastwood
115,ingish,English
116,inglish,English
117,Fab,Feb
118,Febuary,February
119,Feburary,February
120,feburay,February
121,Franch,French
122,feirne,French
123,fench,French
124,freach,French
125,Firday,Friday
126,hallowen,Hallowe'en
127,Hitlar,Hitler
128,a,I
129,and,I
130,are,I
131,has,I
132,he,I
133,i,I
134,if,I
135,is,I
136,it,I
137,iy,I
138,ld,I
139,we,I
140,I'de,I'd
141,I'ed,I'd
142,I'ld,I'd
143,Ile,I'll
144,Ill,I'll
145,I'me,I'm
