id,wrong,correct
1,Adam,Adam's
2,Artair,After
3,American,America
4,Ane,And
5,Apprentiship,Apprenticeship
6,Apirl,April
7,audre,Audrey
8,Autin,Austin
9,Babys,Babies
10,Bankg,Bang
11,Beryil,Beryl
12,Bicyle,Bicycle
13,Bos,Boss
14,Boy,Boys
15,Barham,Brabham
16,barham,Brabham
17,butlins,Butlins
18,castels,Castle's
19,Chartors,Characters
20,Cheere_ho,Cheerio
21,Cheter,Cheetah
22,Comatalevous,Comment_allez-vous
23,Comentary,Commentary
24,Copper,Cooper
25,Cynthia,Cynthia's
26,Dearth,Death
27,Docter,Doctor
28,Dog,Dog's
29,Durxer,Durex
30,And,End
31,Edh,End
32,Hed,End
33,Evey,Every
34,Facttoer,Factory
35,Frameman,Farmer
36,Farther,Father
37,Farrari,Ferrari
38,Fiyer,Fire
39,Fance,France
40,Frgmens,Frogmen's
41,Gardon,Garden
42,Goef,Geoff
43,Good_by,Goodbye
44,Here,Her
45,Im,Him
46,He,His
47,He's,His
48,Holliday,Holiday
49,Hondor,Honda
50,Honk_Kong,Hong_Kong
51,Id,I'd
52,I,I'll
53,Ill,I'll
54,ile,I'll
55,ill,I'll
56,I,I'm
57,Im,I'm
58,Ive,I've
59,I,It
60,Itlay,Italy
61,Jame,James
62,Janes,Jane's
63,Japannese,Japanese
64,Jeans,Jean's
65,jeans,Jean's
66,Jone,Joan
67,John,John's
68,johns,John's
69,Johnes,Jones
70,Joneses,Jones's
71,Joyce,Joyce's
72,Jluy,July
73,Kidney,Kidneys
74,Led,Lead
75,Lets,Let's
76,Londen,London
77,Londod,London
78,Long,Lone
79,Luckily,Lucky
80,macwillaims,Macwilliams
81,Marrid,Married
82,Marry,Mary
83,Mean_while,Meanwhile
84,Munces,Monkeys
85,Motor-bikes,Motorbike
86,By,My
87,Nexe,Next
88,Nickals,Nicholls
89,Nos,Nose
90,Noet,Note
91,Ow,Oh
92,Ones,Once
93,Won,One
94,Out_side,Outside
95,Phillhill,Phil_Hill
96,Please,Pleased
97,Pome,Poem
98,Pollce,Police
99,Paulkey,Porky
100,Prisern,Prison
101,Rango,Ranger
102,Roys,Roy
103,Royl,Royal
104,She,She's
105,Slaughthouse,Slaughterhouse
106,Smocking,Smoking
107,Show,So
108,Some_one,Someone
109,Suothwode,Southwold
110,Stanlay,Stanley
111,Stranden,Stranded
112,Sturt,Stuart
113,Swizaland,Switzerland
114,Sylver,Sylvia
115,sylver,Sylvia
116,tv,TV
117,Teddoy,Teddy_boy
118,Tedeboy,Teddy_boy
119,Taddyboys,Teddy_boys
120,Thats,That's
121,There,Their
122,They,Their
123,Their,There
124,Ther,There
125,They,There
126,There,There's
127,Thinkng,Thinking
128,Tobe,Toby
129,Toms,Tom's
130,Tomy,Tommy
131,Toner,Tonner
132,Triumh,Triumph
133,trumh,Triumph
134,Toy,Troy
135,Tow,Two
136,watston,Watson
137,Wh't,What
138,What,What's
139,Wiich,Which
140,Will,While
141,Whos_evers,Whoever's
142,Wing,Wings
143,Ysid,Yard
144,Your,You're
145,an,a
146,abit,a_bit
147,awill,a_while
148,abroard,aboard
149,a_Bat,about
150,a_bout,about
151,absolutly,absolutely
152,ack,ache
153,half,after
154,afterawhile,after_a_while
155,a_gain,again
156,agan,again
157,agian,again
158,a_go,ago
159,hare,air
160,alife,alive
161,ally,alley
162,alloud,allowed
163,almity,almighty
164,a_lone,alone
165,a_long,along
166,allright,alright
167,arigh,alright
168,aright,alright
169,arigth,alright
170,or_rit,alright
171,orrigh,alright
172,orright,alright
173,allso,also
174,als,also
175,alter,altar
176,all_ways,always
177,allways,always
178,amberless,ambulance
179,amblance,ambulance
180,amerless,ambulance
181,amusments,amusements
182,a,an
183,and,an
184,a,and
185,an,and
186,aud,and
187,hand,and
188,animl,animals
189,a_nother,another
190,a_nouther,another
191,aner,another
192,anwerd,answered
193,eney,any
194,any_on,anyone
195,any_one,anyone
196,any_own,anyone
197,any_thing,anything
198,anythink,anything
199,anyting,anything
200,enthing,anything
201,apply,apple
202,apple,apples
203,apprentiship,apprenticeship
204,and,are
205,airaear,area
206,arent,aren't
207,hrmehn,army
208,hrmehr,army
209,a_round,around
210,arived,arrived
211,ass,as
212,has,as
213,arsed,asked
214,ask,asked
215,arsking,asking
216,ask,asks
217,a_seph,asleep
218,a_sleep,asleep
219,a,at
220,are,at
221,a_tall,at_all
222,a_tool,at_all
223,eat,ate
224,et,ate
225,ete,ate
226,atack,attack
227,atened,attend
228,audre,audrey
229,others,author's
230,Aount,autumn
231,autunm,autumn
232,a_way,away
233,alfull,awful
234,babyes,babies
235,babyis,babies
236,babys,babies
237,babby,baby
238,babys,baby
239,bake,back
240,bakh,back
241,doc,back
242,barb,barbed
243,bear,bare
244,bran,barn
245,barscket,basket
246,basckek,basket
247,baskek,basket
248,bath,baths
