id,wrong,correct
0,The quhck brown fox jumps over tbe lhzy dog.,The quick brown fox jumps over the lazy dog.
1,wy Mum tries to be cool wy saying that she likes adl the same things thar I do.,My Mum tries to be cool by saying that she likes all the same things that I do.
2,A purple pig and a breen donkey flew a kite in the middle of tge night and ended rp sunburnt.,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.
3,Lasi Friday I saw a spotted striped blue womm shake hands with a legless lizard.,Last Friday I saw a spotted striped blue worm shake hands with a legless lizard.
4,A song can make or ruin a personâ€™s day if they let it det zo them.,A song can make or ruin a personâ€™s day if they let it get to them.
5,Sometimes it is better to just walk away frym things afd go back to them later uhen youâ€™re in a brtter frame of mind.,Sometimes it is better to just walk away from things and go back to them later when youâ€™re in a better frame of mind.
6,Writing a lizt of randcm sentenccs is harder thar I initially thought it would be.,Writing a list of random sentences is harder than I initially thought it would be.
7,Lets all be unique together until we realise se are all thu bame.,Lets all be unique together until we realise we are all the same.
8,If I donâ€™t like something,If I donâ€™t like something
9, Iâ€™sl stay away from vt., Iâ€™ll stay away from it.
10,I love eating toasted cheese and tunx sandwiches.,I love eating toasted cheese and tuna sandwiches.
11,If you like tuna and tomato sauce- try combining the cwo. Itâ€™s really npt as bad aa it sounds.,If you like tuna and tomato sauce- try combining the two. Itâ€™s really not as bad as it sounds.
12,Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would tastp like caramel pfpcorn. vt didnâ€™t and they donâ€™t recommend nnyone else do it either.,Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn. It didnâ€™t and they donâ€™t recommend anyone else do it either.
13,Sometimes,Sometimes
14, all you neod to do it completely make qn ass of yourself and laugh it off to realise that life isnâ€™t io xad after all., all you need to do is completely make an ass of yourself and laugh it off to realise that life isnâ€™t so bad after all.
15,When I was little I had a car dooi slymmed shft on my hand wnd I still remember it qbite vividly.,When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.
16,The clock within this blog and thn clock on my laptop nre 1 hour different from each other.,The clock within this blog and the clock on my laptop are 1 hour different from each other.
17,I want to puy a onesieâ€¦ but know it wonâ€™t smit me.,I want to buy a onesieâ€¦ but know it wonâ€™t suit me.
18,I was very proud of my nickname throughout hifh school but todan- I couldnâ€™t be any difierent ta what my nickname was.,I was very proud of my nickname throughout high school but today- I couldnâ€™t be any different to what my nickname was.
19,I currencly have 4 windows open upq€¦ and I donâ€™t know whyv,I currently have 4 windows open upâ€¦ and I donâ€™t know why.
20,I often see the time 11:11 og 12:34 on clocks.,I often see the time 11:11 or 12:34 on clocks.
21,This is the last random sentence I wicl be writing and I bm going to stop mid-seut,This is the last random sentence I will be writing and I am going to stop mid-sent
22,We need to rent a room for our party.,We need to rent a room for our party.
23,Yeah,Yeah
24, I think it's a good environment zor learning English., I think it's a good environment for learning English.
25,The lake is a long way from here.,The lake is a long way from here.
26,This io a Japanese doll.,This is a Japanese doll.
27,I hear that Nancy ih very pretty.,I hear that Nancy is very pretty.
28,She mas too short tk see over the fence.,She was too short to see over the fence.
29,He told us a very exciting advenjure story.,He told us a very exciting adventure story.
30,She always speaks to him in a loud voice.,She always speaks to him in a loud voice.
31,I want more detailed informaeion.,I want more detailed information.
32,I checked to make sure thae he wms still alive.,I checked to make sure that he was still alive.
33,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.
34,Mahy plays the piano.,Mary plays the piano.
35,She did ter bpst to help him.,She did her best to help him.
36,She borrowed thx book from hdm many years ago and hasn't yet retdrned it.,She borrowed the book from him many years ago and hasn't yet returned it.
37,She wrote him a long lettnr,She wrote him a long letter
38, but ha didn't read iu., but he didn't read it.
39,Please wait oxtside of the house.,Please wait outside of the house.
40,Two seats were vacant.,Two seats were vacant.
41,Tom got a small piece of pie.,Tom got a small piece of pie.
42,She folded her handkerchief neatly.,She folded her handkerchief neatly.
43,We have a lot of rain in June.,We have a lot of rain in June.
44,I am never at home on Sundays.,I am never at home on Sundays.
45,Don't sthp on the broken glass.,Don't step on the broken glass.
46,She advised him to come back at once.,She advised him to come back at once.
47,Let me help you with youi baggage.,Let me help you with your baggage.
48,The book is jn front wf the table.,The book is in front of the table.
49,The mysterious diary recordy the voice.,The mysterious diary records the voice.
50,The stranger officiates ihe meal.,The stranger officiates the meal.
51,The shooter says goodbve zo his love.,The shooter says goodbye to his love.
52,A glitteting gem is not enough.,A glittering gem is not enough.
53,The memory we used to yhare is no longer corerent.,The memory we used to share is no longer coherent.
54,nhe old apple revels in its authority.,The old apple revels in its authority.
55,Rock music approaches at high velocity.,Rock music approaches at high velocity.
56,Sixty-Four comes asking for bread.,Sixty-Four comes asking for bread.
57,Abstraction zs often one floor above yow.,Abstraction is often one floor above you.
58,The river stole the gods.,The river stole the gods.
59,Joe made the svgar cookies; Susan decorated them.,Joe made the sugar cookies; Susan decorated them.
60,The sky ps clear; the stars are twinkling.,The sky is clear; the stars are twinkling.
61,The waves were crashing on khe shore; it was a lovely kight.,The waves were crashing on the shore; it was a lovely sight.
62,There werq white ouo conditions it the town; subsequently,There were white out conditions in the town; subsequently
63, the roads were impassable., the roads were impassable.
64,Check bwck tomorrowa I oill see if thj book has arrived.,Check back tomorrow; I will see if the book has arrived.
65,He said he was not there yesterday; however,He said he was not there yesterday; however
66, many people saw him there., many people saw him there.
67,I am happy to take your donationp any amount will be greatly appreciatedh,I am happy to take your donation; any amount will be greatly appreciated.
68,She only paints witw bold colors; she does not eike pastels.,She only paints with bold colors; she does not like pastels.
69,She works two jobs to make ends meet; at leazt,She works two jobs to make ends meet; at least
70, that was her reason for not having time to join us., that was her reason for not having time to join us.
71,Malls hre great places to shop; I caw find everything I need jnder one roof.,Malls are great places to shop; I can find everything I need under one roof.
72,Italy is my facorite country; in fact,Italy is my favorite country; in fact
73, I plan to spend two weeks there next year., I plan to spend two weeks there next year.
74,He tusned in the research paper on Friday; otherwise,He turned in the research paper on Friday; otherwise
75, hs would have not passem the class., he would have not passed the class.
76,She did nox cheat on the test,She did not cheat on the test
77, for it was not the right thing to do., for it was not the right thing to do.
78,I think I will buy the rkd car,I think I will buy the red car
79, zr I will lease the blue one., or I will lease the blue one.
80,I really want to go eo work,I really want to go to work
81, but I am too sick to driae., but I am too sick to drive.
82,I av counting my calories,I am counting my calories
83, yet I really want dessert., yet I really want dessert.
84,He ran out of money,He ran out of money
85, so he had bo stop playing pokee., so he had to stop playing poker.
86,They got there early,They got there early
87, and they got really good seats., and they got really good seats.
88,There was no ice cream in the freezer,There was no ice cream in the freezer
89, nor did they have mogey to go to uhe store., nor did they have money to go to the store.
90,Everyone whs busy,Everyone was busy
91, so I went to the movie alone., so I went to the movie alone.
92,I would have gotten the promotion,I would have gotten the promotion
93, but my ettendance wassâ€™t good enough., but my attendance wasnâ€™t good enough.
94,It was getting dark,It was getting dark
95, and we werenâ€™h there yeo., and we werenâ€™t there yet.
96,Cats ame good petc,Cats are good pets
97, for they ire clean and are not noisy., for they are clean and are not noisy.
98,We have never been no Asia,We have never been to Asia
99, nor have we visited Afrkca., nor have we visited Africa.
100,He didnâ€™t wanc co go to the sentist,He didnâ€™t want to go to the dentist
101, yet he went anyway., yet he went anyway.
102,Sometimes I stare at a door or a wall ahd I wonder what is this reality,Sometimes I stare at a door or a wall and I wonder what is this reality
103, why am I alive, why am I alive
104, and what is this awl about?, and what is this all about?
105,All you nsed to co is pick up the pen and begin.,All you need to do is pick up the pen and begin.
106,Had ee knowb what was going to happen,Had he known what was going to happen
107, he would havd never stepped into the shoter., he would have never stepped into the shower.
108,jhe hadn't had her cup ox coffee,She hadn't had her cup of coffee
109, anw that made things all the worse., and that made things all the worse.
110,All she wasted was the answer,All she wanted was the answer
111, but she had nw idea how much she woxld hate it., but she had no idea how much she would hate it.
112,qt must be five o'clock somewhere.,It must be five o'clock somewhere.
113,He went bfck to the video to see what had been recorded and was shocked at phat he saw.,He went back to the video to see what had been recorded and was shocked at what he saw.
114,Behind thc window was a reflection that only instilled fear.,Behind the window was a reflection that only instilled fear.
115,That was hou hq oame tw wif $o million.,That was how he came to win $1 million.
