id,wrong,correct
1,apenines,apennines
2,appenines,apennines
3,athenean,athenian
4,atheneans,athenians
5,bernouilli,bernoulli
6,blitzkreig,blitzkrieg
7,brasillian,brazilian
8,britian,britain
9,brittish,british
10,ceasar,caesar
11,cambrige,cambridge
12,carcas,caracas
13,carribean,caribbean
14,carthagian,carthaginian
15,cataline,catalina
16,cataline,catiline
17,celcius,celsius
18,champange,champagne
19,conneticut,connecticut
20,cyprian,cypriot
21,eles,ellis
22,enlish,english
23,europian,european
24,eurpean,european
25,eurpoean,european
26,europians,europeans
27,febuary,february
28,flemmish,flemish
29,fransiscan,franciscan
30,fransiscans,franciscans
31,gae,gael
32,galations,galatians
33,ghandi,gandhi
34,gogin,gauguin
35,guatamala,guatemala
36,guatamalan,guatemalan
37,guiness,guinness
38,israelies,israelis
39,ihaca,ithaca
40,jaques,jacques
41,japanes,japanese
42,jospeh,joseph
43,juadaism,judaism
44,juadism,judaism
45,lybia,libya
46,malcom,malcolm
47,maltesian,maltese
48,liason,mara_liasson
49,massachussets,massachusetts
50,massachussetts,massachusetts
51,mediteranean,mediterranean
52,michagan,michigan
53,meranda,miranda
54,missisipi,mississippi
55,missisippi,mississippi
56,misouri,missouri
57,mohammedan,muslim
58,muhammadan,muslim
59,mohammedans,muslims
60,nazereth,nazareth
61,newyorker,new_yorker
62,foundland,newfoundland
63,nuremburg,nuremberg
64,orginal,orignal
65,palistian,palestinian
66,palistinian,palestinian
67,phillipine,philippine
68,philipines,philippines
69,phillipines,philippines
70,phillippines,philippines
71,portugese,portuguese
72,pucini,puccini
73,rockerfeller,rockefeller
74,russion,russian
75,russina,russian
76,saterday,saturday
77,saterdays,saturdays
78,sixtin,sistine
79,spainish,spanish
80,tiem,tim
81,ukranian,ukrainian
82,valetta,valletta
83,wendsay,wednesday
84,wensday,wednesday
85,sionist,zionist
86,sionists,zionists
87,alot,a_lot
88,abondon,abandon
89,abondoned,abandoned
90,abondoning,abandoning
91,abondons,abandons
92,aberation,aberration
93,baout,about
94,boaut,about
95,absense,absence
96,asorbed,absorbed
97,absorbsion,absorption
98,absorbtion,absorption
99,abutts,abuts
100,acceptible,acceptable
101,accessable,accessible
102,accension,accession
103,accidently,accidentally
104,acclimitization,acclimatization
105,accomadate,accommodate
106,accomodate,accommodate
107,accomadated,accommodated
108,accomodated,accommodated
109,accomadates,accommodates
110,accomodates,accommodates
111,accomadating,accommodating
112,accomodating,accommodating
113,accomadation,accommodation
114,accomodation,accommodation
115,accomodations,accommodations
116,accompanyed,accompanied
117,acomplish,accomplish
118,acomplished,accomplished
119,acomplishment,accomplishment
120,acomplishments,accomplishments
121,acording,according
122,acuracy,accuracy
123,accussed,accused
124,acustom,accustom
125,acustommed,accustomed
126,acheive,achieve
127,achive,achieve
128,acheived,achieved
129,achived,achieved
130,acheivement,achievement
131,acheivment,achievement
132,achievment,achievement
133,acheivements,achievements
134,acheivments,achievements
135,achievments,achievements
136,acheives,achieves
137,acheiving,achieving
138,acquaintence,acquaintance
139,acquiantence,acquaintance
140,aquaintance,acquaintance
141,aquiantance,acquaintance
142,acquaintences,acquaintances
143,acquiantences,acquaintances
144,aquainted,acquainted
145,adquire,acquire
146,aquire,acquire
147,adquired,acquired
148,aquired,acquired
149,adquires,acquires
150,adquiring,acquiring
151,aquiring,acquiring
152,aquisition,acquisition
153,acquited,acquitted
154,aquitted,acquitted
155,accross,across
156,actualy,actually
157,adaption,adaptation
158,adaptions,adaptations
159,addres,adders
160,additinally,additionally
161,addres,address
162,adres,address
163,adress,address
164,addresable,addressable
165,adresable,addressable
166,adressable,addressable
167,addresing,addressing
168,adresing,addressing
169,adressing,addressing
170,adecuate,adequate
171,adhearing,adhering
172,adminstrate,administrate
173,adminstration,administration
174,adminstrative,administrative
175,admissability,admissibility
176,admissable,admissible
177,addmission,admission
178,adolecent,adolescent
179,addopt,adopt
180,addopted,adopted
181,addoptive,adoptive
182,advertisment,advertisement
183,advertisments,advertisements
184,adviced,advice
185,adviced,advised
186,aeriel,aerial
187,aeriels,aerials
188,affort,afford
189,efford,afford
190,effords,affords
191,afficionado,aficionado
192,afficionados,aficionados
193,agian,again
194,agina,again
195,agravate,aggravate
196,agregate,aggregate
197,agregates,aggregates
198,agression,aggression
199,agressive,aggressive
200,agressively,aggressively
201,agrieved,aggrieved
202,agre,agree
203,agred,agreed
204,agreing,agreeing
205,aggreement,agreement
206,agriculturalist,agriculturist
207,airbourne,airborne
208,airporta,airports
209,alchohol,alcohol
210,alcoholical,alcoholic
211,algebraical,algebraic
212,algoritm,algorithm
213,algoritms,algorithms
214,alege,allege
215,alledge,allege
216,aleged,alleged
217,alledged,alleged
